exchange,canonical_product,tianfeng_product
CFFEX,IO,IO
CFFEX,HO,HO
CFFEX,MO,MO
DCE,m_o,m_o
DCE,c_o,c_o
DCE,i_o,i_o
DCE,pg_o,pg_o
DCE,pp_o,pp_o
DCE,v_o,v_o
DCE,l_o,l_o
DCE,p_o,p_o
DCE,a_o,a_o
DCE,b_o,b_o
DCE,y_o,y_o
DCE,eg_o,eg_o
DCE,eb_o,eb_o
DCE,jd_o,jd_o
DCE,lh_o,lh_o
DCE,lg_o,lg_o
DCE,cs_o,cs_o
CZCE,SR_O,SR
CZCE,CF_O,CF
CZCE,TA_O,TA
CZCE,MA_O,MA
CZCE,RM_O,RM
CZCE,OI_O,OI
CZCE,PK_O,PK
CZCE,PX_O,PX
CZCE,SH_O,SH
CZCE,PF_O,PF
CZCE,SA_O,SA
CZCE,UR_O,UR
CZCE,SM_O,SM
CZCE,SF_O,SF
CZCE,AP_O,AP
CZCE,CJ_O,CJ
CZCE,FG_O,FG
CZCE,PR_O,PR
SHFE,cu_o,cu_o
SHFE,au_o,au_o
SHFE,al_o,al_o
SHFE,zn_o,zn_o
SHFE,rb_o,rb_o
SHFE,ag_o,ag_o
SHFE,ru_o,ru_o
SHFE,pb_o,pb_o
SHFE,ni_o,ni_o
SHFE,sn_o,sn_o
SHFE,ao_o,ao_o
SHFE,br_o,br_o
INE,sc_o,sc_o
GFEX,si_o,si_o
GFEX,lc_o,lc_o
GFEX,ps_o,ps_o
SSE,ETF_O,ETF_O
SZSE,ETF_O,ETF_O
